program_name
MBA Accounting & Finance
MBA Auditing
MBA Internal Auditing
MBA Corporate Governance
MBA Marketing
MBA Total Quality Management
MBA Corporate Communications
MBA Petroleum Accounting & Finance
MBA in Impact Entrepreneurship and Innovation
Master of Philosophy in Media & Digital Communication Management
Master of Philosophy in Information Systems
Master of Philosophy in Leadership
Master of Philosophy in Finance
Master of Philosophy in Accounting
MA in Peace, Security and Intelligence
MA in Brands Communication and Management
MA in Digital Strategic Marketing
MA in Media & Digital Communication Management
Master of Science in Insurance Risk Management
Master of Science in Procurement Management
Master of Science in Pensions Management
Master of Science in Information Systems
Master of Science in Leadership and Organizational Development
Master of Laws in Competition and Consumer Protection Law
Master of Laws in International Business And Commercial Law
Master of Laws in Natural Resources and Climate Change Law
